Class,Participation,Annual_Gifts
1931–1939,na,64423
1940,16.7,43654
1941,12.5,50
1942,29.4,1410
1943,25.0,11850
1944,33.3,23100
1945,18.4,11125
1945W,26.3,9630
1946,15.8,11350
1947,43.1,21398
1948,25.5,51859
1949,39.3,43924
1950,31.4,136016
1951,52.4,67060
1952,69.4,119938
1953,36.9,290350
1954,44.4,430065
1955,39.7,174979
1956,41.8,445232
1957,46.5,267375
1958,42.9,264950
1959,38.2,181943
1960,33.9,197530
1961,38.8,313400
1962,36.6,207533
1963,42.4,321995
1964,34.8,301505
1965,30.8,205213
1966,44.9,653465
1967,34.9,219433
1968,31.3,258793
1969,32.2,357636
1970,32.6,243606
1971,48.2,1120225
1972,31.0,279353
1973,30.6,354507
1974,25.8,229199
1975,23.1,424122
1976,23.9,350634
1977,23.1,246904
1978,19.9,303164
1979,21.2,278992
1980,20.0,551580
1981,21.9,577132
1982,19.1,277069
1983,19.3,277571
1984,21.2,312282
1985,30.4,643339
1986,22.3,658592
1987,23.5,401178
1988,21.9,641385
1989,24.0,597656
1990,23.5,519307
1991,27.6,777110
1992,26.1,623089
1993,25.1,597884
1994,25.8,658752
1995,24.8,538342
1996,27.4,710195
1997,25.7,296677
1998,25.1,296028
1999,22.8,452459
2000,19.6,261244
2001,21.7,448671
2002,19.1,159904
2003,19.4,163225
2004,19.7,165324
2005,16.3,149638
2006,21.2,238546
2007,19.8,135803
2008,16.2,95507
2009,16.5,92826
2010,15.1,52170
2011,23.6,82082
2012,19.3,44983
2013,18.1,47126
2014,14.8,54897
2015,14.4,21345
2016,18.0,58164
2017,13.2,17671
2018,10.9,22612
2019,9.6,13262
2020,6.0,4365
